12731,12422,13328,14239,26206,24930,20737,5333,0.29588,3
12507,12111,12912,13591,26041,24156,20032,5322,0.31414,3
12566,12212,13032,13796,26177,24507,20266,5302,0.30973,3
12608,12273,13093,13939,25972,24890,20736,5308,0.3015,3
12559,12184,13010,13967,25919,24795,20686,5280,0.29965,3
12431,12030,12822,13712,26004,24201,19991,5303,0.3095,3
11970,11372,11760,11585,28004,21631,16616,5357,0.41474,3
12251,11726,12329,12308,28341,22696,17667,5333,0.39443,3
12505,12047,12760,12874,28584,23260,18221,5335,0.37894,3
12745,12333,13165,13529,28479,23872,18921,5324,0.35588,3
12289,11754,12364,12514,27495,23151,18242,5317,0.37444,3
11809,11171,11614,11468,27097,21864,17004,5316,0.40526,3
12051,11491,12073,12177,27430,22356,17558,5341,0.38511,3
12151,11582,12204,12450,26986,23280,18519,5334,0.3686,3
12079,11476,11979,12170,26706,22843,18057,5341,0.37391,3
11913,11299,11844,11924,26550,22576,17733,5327,0.38015,3
12250,11739,12325,12704,26504,23326,18582,5326,0.35197,3
12433,11923,12578,13168,26148,24214,19781,5335,0.33015,3
12464,12013,12751,13396,26280,24248,19842,5322,0.32473,3
12838,12548,13465,14462,26351,25311,21082,5332,0.2913,3
12826,12526,13456,14434,26564,25337,21115,5348,0.29587,3
12811,12495,13382,14315,26941,24955,20626,5336,0.30604,3
13225,13035,13932,15130,26774,25758,21529,5345,0.27787,3
13103,12875,13870,14974,26704,26014,21784,5340,0.28144,3
12892,12615,13578,14538,26948,25108,20688,5329,0.29914,3
12868,12576,13520,14435,26891,25148,20815,5315,0.30141,3
12702,12352,13287,14154,26525,25086,20852,5331,0.30411,3
12670,12293,13122,13968,26500,24559,20251,5324,0.30968,3
12658,12304,13123,13935,26448,24609,20316,5315,0.30986,3
12461,12076,12840,13598,25916,24434,20261,5315,0.31174,3
12389,11954,12634,13316,25726,24346,20129,5289,0.31786,3
12366,11987,12694,13461,25815,24271,20019,5290,0.31454,3
12061,11520,12170,12644,26232,23211,18711,5283,0.34952,3
11741,11062,11531,11303,27052,21239,16389,5356,0.41061,3
12061,11476,12021,11979,27613,22309,17359,5346,0.39488,3
12294,11774,12511,12645,27936,23130,18083,5332,0.3768,3
12605,12206,12968,13255,28154,23990,18930,5328,0.3598,3
12095,11514,12160,12216,27131,22963,18010,5326,0.37906,3
11686,11000,11347,11026,26268,21555,16465,5326,0.4087,3
11667,10948,11434,11216,26316,21330,16343,5330,0.40232,3
11874,11245,11798,11836,26556,22113,17253,5323,0.38341,3
11591,10881,11283,10969,25193,21700,16858,5327,0.39334,3
11710,10998,11520,11471,24975,22079,17267,5330,0.37052,3
12239,11707,12549,13037,25785,23898,19304,5341,0.32837,3
12413,11913,12545,13187,25633,24116,19711,5343,0.32061,3
12420,11917,12645,13258,25812,24457,20124,5346,0.32132,3
13049,12742,13409,14545,25397,24554,19968,5332,0.27169,3
13014,12749,13741,14751,26456,25239,20690,5334,0.28405,3
12998,12696,13755,14771,27086,25425,21012,5331,0.29422,3
13178,12981,14031,15368,26728,26027,21809,5322,0.26986,3
12962,12668,13516,14605,26268,25561,21207,5333,0.28535,3
12769,12531,13454,14442,26841,24850,20315,5335,0.30034,3
12641,12250,13156,13999,26847,24795,20315,5333,0.31455,3
12784,12465,13262,14205,26255,25123,20855,5327,0.29783,3
12605,12235,13001,13784,26248,24627,20209,5335,0.31135,3
12568,12194,13080,13824,26465,24779,20443,5334,0.31376,3
12507,12111,12860,13639,25954,24567,20374,5318,0.31104,3
12347,11898,12626,13401,25282,24515,20393,5309,0.30714,3
12409,11919,12672,13507,25243,24641,20384,5301,0.30286,3
12051,11495,12170,12603,25844,23672,19183,5277,0.3444,3
11842,11230,11727,11841,24412,21636,17334,5379,0.34676,3
11967,11350,11946,12311,24580,22264,17901,5374,0.33257,3
12113,11553,11999,12297,25437,22643,18000,5365,0.34823,3
12328,11860,12442,12789,25739,23371,18797,5333,0.33612,3
12121,11521,12217,12659,24541,22909,18404,5326,0.31941,3
11605,10842,11345,11453,23784,20976,16455,5341,0.34994,3
